#dignilife_tasks_120_distinct.csv
code,name,category,display_value_usd,expected_time_sec,ai_required,prereq_gate,languages,description,user_prompt,quality_rubric,bonus_eligible,review_threshold,is_active,notes
text_note,Write a short note,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_translate_simple,Translate a simple sentence,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_fix_grammar,Fix grammar of a sentence,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_sentiment_label,Label sentiment of a message,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_intent_label,Label the intent of a chat,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_paraphrase,Paraphrase a sentence,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_summarize,Summarize 3–5 lines,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_tag_topic,Tag the topic of a paragraph,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_keyphrase,Extract 3 key phrases,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_recipe_tip,Share a cooking tip,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_health_tip,Share a health tip,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_safety_tip,Share a local safety tip,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_market_price,Report a local price (item),text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
text_weather_report,Describe today’s weather,text,2.0,20,True,False,auto,Type in any language; AI auto-detects relevance.,Write in your own words; keep it short and clear.,A=high;B=ok;C=poor,"streak,speed,quality,diversity",0.6,True,
